# Export File Created with QBlade CE v2.0.8.6_beta windows on 07.04.2025 at 18:39:12
CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
1.1100000e+02	-6.8506867e-01	END	END
1.1200000e+02	-7.2123986e-01	END	END
1.1300000e+02	-7.5634545e-01	END	END
1.1400000e+02	-7.9033208e-01	END	END
1.1500000e+02	-8.2314849e-01	END	END
1.1600000e+02	-8.5474527e-01	END	END
1.1700000e+02	-8.8507509e-01	END	END
1.1800000e+02	-9.1409284e-01	END	END
1.1900000e+02	-9.4175547e-01	END	END
1.2000000e+02	-9.6802264e-01	END	END
1.2100000e+02	-9.9285620e-01	END	END
1.2200000e+02	-1.0162207e+00	END	END
1.2300000e+02	-1.0380831e+00	END	END
1.2400000e+02	-1.0584134e+00	END	END
1.2500000e+02	-1.0771840e+00	END	END
1.2600000e+02	-1.0943705e+00	END	END
1.2700000e+02	-1.1099510e+00	END	END
1.2800000e+02	-1.1239071e+00	END	END
1.2900000e+02	-1.1362230e+00	END	END
1.3000000e+02	-1.1468859e+00	END	END
1.3100000e+02	-1.1558863e+00	END	END
1.3200000e+02	-1.1632178e+00	END	END
1.3300000e+02	-1.1688771e+00	END	END
1.3400000e+02	-1.1728642e+00	END	END
1.3500000e+02	-1.1751821e+00	END	END
1.3600000e+02	-1.1758372e+00	END	END
1.3700000e+02	-1.1748390e+00	END	END
1.3800000e+02	-1.1722003e+00	END	END
1.3900000e+02	-1.1679373e+00	END	END
1.4000000e+02	-1.1620691e+00	END	END
1.4100000e+02	-1.1546185e+00	END	END
1.4200000e+02	-1.1456112e+00	END	END
1.4300000e+02	-1.1350765e+00	END	END
1.4400000e+02	-1.1230472e+00	END	END
1.4500000e+02	-1.1095592e+00	END	END
1.4600000e+02	-1.0946521e+00	END	END
1.4700000e+02	-1.0783690e+00	END	END
1.4800000e+02	-1.0607572e+00	END	END
1.4900000e+02	-1.0418677e+00	END	END
1.5000000e+02	-1.0217562e+00	END	END
1.5100000e+02	-1.0004832e+00	END	END
1.5200000e+02	-9.7811472e-01	END	END
1.5300000e+02	-9.5472336e-01	END	END
1.5400000e+02	-9.3038940e-01	END	END
1.5500000e+02	-9.0520245e-01	END	END
1.5600000e+02	-8.7926412e-01	END	END
1.5700000e+02	-8.5269117e-01	END	END
1.5800000e+02	-8.2562053e-01	END	END
